education,experience,license,advancement,qualities,Occupation
"High school students who are interested in becoming a clinical laboratory technologist or technician should take classes in chemistry, biology, and math.
",,"Some states require laboratory personnel to be licensed or registered. Requirements vary by state and specialty. For specific requirements, contact your state department of health or state board of occupational licensing.
","Some clinical laboratory technicians advance to technologist positions after gaining experience and additional education.
","Analytical skills.Clinical laboratory technologists and technicians must examine the specimens they test to determine whether there are abnormalities.
",Clinical laboratory technologists and technicians
"High school students who are interested in medical sonography or cardiovascular technology should take classes in anatomy, physiology, physics, and math. EKG technicians may qualify for entry-level jobs with a high school diploma or the equivalent.
",,"Employers may prefer to hire diagnostic medical sonographers and cardiovascular technologists and technicians who have professional certification, or they may expect applicants to earn certification shortly after being hired. For payment purposes, insurance providers and Medicare may stipulate that a certified sonographer, technologist, or technician perform certain procedures. Certification is available from several organizations, such as theAmerican Registry for Diagnostic Medical Sonographers,American Registry of Radiologic Technologists,Cardiovascular Credentialing International, andNational Healthcareer Association.
",,"Communication skills.Diagnostic medical sonographers and cardiovascular technologists and technicians work closely with patients, including those who may be in pain, and must be able to explain the procedure in an understandable way. They also must convey information clearly when discussing images with physicians and other members of the healthcare team.
",Cardiovascular technologists and technicians
"High school students who are interested in medical sonography or cardiovascular technology should take classes in anatomy, physiology, physics, and math. EKG technicians may qualify for entry-level jobs with a high school diploma or the equivalent.
",,"Employers may prefer to hire diagnostic medical sonographers and cardiovascular technologists and technicians who have professional certification, or they may expect applicants to earn certification shortly after being hired. For payment purposes, insurance providers and Medicare may stipulate that a certified sonographer, technologist, or technician perform certain procedures. Certification is available from several organizations, such as theAmerican Registry for Diagnostic Medical Sonographers,American Registry of Radiologic Technologists,Cardiovascular Credentialing International, andNational Healthcareer Association.
",,"Communication skills.Diagnostic medical sonographers and cardiovascular technologists and technicians work closely with patients, including those who may be in pain, and must be able to explain the procedure in an understandable way. They also must convey information clearly when discussing images with physicians and other members of the healthcare team.
",Diagnostic medical sonographers
"High school students interested in nuclear medicine technology should take courses in math and sciences, including biology, chemistry, anatomy, and physics.
",,"Most nuclear medicine technologists become certified. Although certification is not required for a license, it fulfills most of the requirements for state licensure. Licensing requirements vary by state. For specific requirements, contact the state’s health board.
",,"Ability to use technology.Nuclear medicine technologists work with computers and large pieces of electronic equipment and must be comfortable operating them.
",Nuclear medicine technologists
"High school students who are interested in radiologic or MRI technology should take courses that focus on math and science, such as anatomy, biology, chemistry, and physics.
","MRI technologists typically need less than 5 years of experience in a related occupation, most often from working as a radiologic technologist.
","Most states require radiologic technologists to be licensed or certified. Few states require licensure for MRI technologists. Requirements vary by state.
",,"Detail oriented.Radiologic and MRI technologists must follow instructions exactly to get the images needed for diagnoses.
",Radiologic technologists and technicians
"High school students who are interested in radiologic or MRI technology should take courses that focus on math and science, such as anatomy, biology, chemistry, and physics.
","MRI technologists typically need less than 5 years of experience in a related occupation, most often from working as a radiologic technologist.
","Most states require radiologic technologists to be licensed or certified. Few states require licensure for MRI technologists. Requirements vary by state.
",,"Detail oriented.Radiologic and MRI technologists must follow instructions exactly to get the images needed for diagnoses.
",Magnetic resonance imaging technologists
"Medical dosimetrists typically need a bachelor’sdegreein medical dosimetry or a related field, such asbiologyorphysical science. Prospective dosimetrists whose degree is not in medical dosimetry may complete a certificate or master’s degree program in medical dosimetry. These programs usually last 1 to 2 years. A list of accredited medical dosimetry programs is available from theJoint Review Committee on Education in Radiologic Technology(JRCERT).
","Some medical dosimetrists work as radiation therapists before earning the credentials to become dosimetrists.
","Employers usually prefer to hire medical dosimetrists who have earned the Certified Medical Dosimetrist (CMD) credential from theMedical Dosimetrist Certification Board(MDCB). Certification requires that candidates have a bachelor's degree, graduate from an accredited medical dosimetry program, and pass an exam. Maintaining certification requires completion of a specified number of hours of continuing education.
",,"Communication skills.To ensure proper treatment, medical dosimetrists must convey important information about a patient’s radiation dosage both orally and in writing.
",Medical dosimetrists
"High school students interested in becoming EMTs or paramedics should take courses in life sciences and consider becoming certified in cardiopulmonary resuscitation (CPR). Some high schools offer EMT training through vocational or technical education programs.
","Paramedics typically need work experience as an EMT prior to entering a paramedic education program.
","TheNational Registry of Emergency Medical Technicians(NREMT) certifies EMTs and paramedics at the national level. All levels of NREMT certification—including EMT-Basic, EMT-Intermediate, and paramedics—require completing an approved education program and passing the written national exam. EMT-Intermediates and paramedics have a higher level of skill and must complete an additional hands-on component to complete their certifications.
","With additional education, paramedics may transfer into other healthcare occupations. For example, paramedic-to-RN programs offer an accelerated pathway to becoming aregistered nurse.
","Communication skills.EMTs and paramedics must listen to patients describe their injuries and illnesses and to dispatchers and others conveying information. They also need to provide clear instruction and explain procedures.
",Emergency medical technicians
"High school students interested in becoming EMTs or paramedics should take courses in life sciences and consider becoming certified in cardiopulmonary resuscitation (CPR). Some high schools offer EMT training through vocational or technical education programs.
","Paramedics typically need work experience as an EMT prior to entering a paramedic education program.
","TheNational Registry of Emergency Medical Technicians(NREMT) certifies EMTs and paramedics at the national level. All levels of NREMT certification—including EMT-Basic, EMT-Intermediate, and paramedics—require completing an approved education program and passing the written national exam. EMT-Intermediates and paramedics have a higher level of skill and must complete an additional hands-on component to complete their certifications.
","With additional education, paramedics may transfer into other healthcare occupations. For example, paramedic-to-RN programs offer an accelerated pathway to becoming aregistered nurse.
","Communication skills.EMTs and paramedics must listen to patients describe their injuries and illnesses and to dispatchers and others conveying information. They also need to provide clear instruction and explain procedures.
",Paramedics
"Educational requirements for audio and video, lighting, and sound engineering technicians vary from a high school diploma to a college degree, depending on the position. Broadcast technicians typically need an associate’s degree.
","Gaining practical experience in a high school or college audiovisual department also helps to prepare for work as an audio and video equipment technician.
","Although it is not required by most employers, voluntary certification may offer advantages in getting a job as a broadcast or sound engineering technician. Certification tells employers that the technician meets certain industry standards and has kept up to date with new technologies.
","Although many broadcast, sound, and video technicians work first in small markets or at small stations in big markets, they often transfer to larger, better paying radio or television stations after gaining experience and skills. Few large stations hire someone without previous experience, and they value specialized skills.
","Communication skills.Technicians need to communicate with supervisors and coworkers to ensure that clients’ needs are met and that equipment is set up properly before broadcasts, live performances, and presentations.
",Audio and video technicians
"Educational requirements for audio and video, lighting, and sound engineering technicians vary from a high school diploma to a college degree, depending on the position. Broadcast technicians typically need an associate’s degree.
","Gaining practical experience in a high school or college audiovisual department also helps to prepare for work as an audio and video equipment technician.
","Although it is not required by most employers, voluntary certification may offer advantages in getting a job as a broadcast or sound engineering technician. Certification tells employers that the technician meets certain industry standards and has kept up to date with new technologies.
","Although many broadcast, sound, and video technicians work first in small markets or at small stations in big markets, they often transfer to larger, better paying radio or television stations after gaining experience and skills. Few large stations hire someone without previous experience, and they value specialized skills.
","Communication skills.Technicians need to communicate with supervisors and coworkers to ensure that clients’ needs are met and that equipment is set up properly before broadcasts, live performances, and presentations.
",Broadcast technicians
"Educational requirements for audio and video, lighting, and sound engineering technicians vary from a high school diploma to a college degree, depending on the position. Broadcast technicians typically need an associate’s degree.
","Gaining practical experience in a high school or college audiovisual department also helps to prepare for work as an audio and video equipment technician.
","Although it is not required by most employers, voluntary certification may offer advantages in getting a job as a broadcast or sound engineering technician. Certification tells employers that the technician meets certain industry standards and has kept up to date with new technologies.
","Although many broadcast, sound, and video technicians work first in small markets or at small stations in big markets, they often transfer to larger, better paying radio or television stations after gaining experience and skills. Few large stations hire someone without previous experience, and they value specialized skills.
","Communication skills.Technicians need to communicate with supervisors and coworkers to ensure that clients’ needs are met and that equipment is set up properly before broadcasts, live performances, and presentations.
",Sound engineering technicians
"Educational requirements for audio and video, lighting, and sound engineering technicians vary from a high school diploma to a college degree, depending on the position. Broadcast technicians typically need an associate’s degree.
","Gaining practical experience in a high school or college audiovisual department also helps to prepare for work as an audio and video equipment technician.
","Although it is not required by most employers, voluntary certification may offer advantages in getting a job as a broadcast or sound engineering technician. Certification tells employers that the technician meets certain industry standards and has kept up to date with new technologies.
","Although many broadcast, sound, and video technicians work first in small markets or at small stations in big markets, they often transfer to larger, better paying radio or television stations after gaining experience and skills. Few large stations hire someone without previous experience, and they value specialized skills.
","Communication skills.Technicians need to communicate with supervisors and coworkers to ensure that clients’ needs are met and that equipment is set up properly before broadcasts, live performances, and presentations.
",Lighting technicians
"Postsecondary education is not required for most photographers. However, many photographers take classes or earn a bachelor’s degree to improve their skills and employment prospects.
",,"Photographers who commercially operate drones, commonly known as unmanned aerial vehicles, must obtain certification from theFederal Aviation Administration(FAA). They must fulfill the following criteria:
",,"Artistic ability.Photographers capture their subjects in images, and they must evaluate the artistic quality of a photograph. Photographers need a ""good eye"": the ability to use colors, shadows, shades, light, and distance to compose aesthetically pleasing photographs.
",Photographers
"Film and video editors and camera operators typically need a bachelor’s degree to enter the occupation. Thedegreeis often in film, broadcasting, or a relatedfine and performing artsorcommunicationsfield. Many colleges offer courses in cinematography or video-editing software. Coursework involves a mix of film theory with practical training.
",,"Editors may demonstrate competence in various types of editing software by earning certification, which is generally offered by software vendors. Certification requires passing a comprehensive exam, and candidates can prepare for the exam on their own, through online tutorials, or through classroom instruction.
","Experienced film and video editors and camera operators with creativity and leadership skills can advance to overseeing their own projects. For more information, see the profile onproducers and directors.
","Communication skills.Film and video editors and camera operators must communicate with other members of a production team, including producers and directors, to ensure that the project goes smoothly.
","Camera operators, television, video, and film"
"Film and video editors and camera operators typically need a bachelor’s degree to enter the occupation. Thedegreeis often in film, broadcasting, or a relatedfine and performing artsorcommunicationsfield. Many colleges offer courses in cinematography or video-editing software. Coursework involves a mix of film theory with practical training.
",,"Editors may demonstrate competence in various types of editing software by earning certification, which is generally offered by software vendors. Certification requires passing a comprehensive exam, and candidates can prepare for the exam on their own, through online tutorials, or through classroom instruction.
","Experienced film and video editors and camera operators with creativity and leadership skills can advance to overseeing their own projects. For more information, see the profile onproducers and directors.
","Communication skills.Film and video editors and camera operators must communicate with other members of a production team, including producers and directors, to ensure that the project goes smoothly.
",Film and video editors
"Chiropractors must have a Doctor of Chiropractic (D.C.) degree from an accredited chiropractic college. A D.C. degree usually takes 4 years to complete. Chiropractic colleges are accredited byThe Council on Chiropractic Education.
",,"All states require chiropractors to be licensed, although requirements vary by state. At a minimum, all require the completion of an accredited Doctor of Chiropractic (D.C.) degree program and passing all four parts of theNational Board of Chiropractic Examiners(NBCE) exam. States also may require candidates to pass a background check and state-specific law exams, called jurisprudence exams.
",,"Communication skills.Chiropractors must listen to patients and explain procedures clearly both orally and in written reports.
",Chiropractors
"Dentists typically need a DDS or DMD degree from a dental program that has been accredited by theCommission on Dental Accreditation(CODA). Most programs require that applicants have at least a bachelor’s degree and have completed certain science courses, such as biology or chemistry. Although no specific undergraduate major is required, programs may prefer applicants who have a bachelor'sdegreein a science, such asbiology.
",,"Dentists must be licensed in the state in which they work. All states require dentists to be licensed; requirements vary by state. Most states require a dentist to have a DDS or DMD degree from an accredited dental program, pass the writtenNational Board Dental Examination, and pass a state or regional clinical examination.
",,"Communication skills.Dentists must communicate effectively with patients, dental hygienists, dental assistants, and receptionists.
","Dentists, general"
"Dentists typically need a DDS or DMD degree from a dental program that has been accredited by theCommission on Dental Accreditation(CODA). Most programs require that applicants have at least a bachelor’s degree and have completed certain science courses, such as biology or chemistry. Although no specific undergraduate major is required, programs may prefer applicants who have a bachelor'sdegreein a science, such asbiology.
",,"Dentists must be licensed in the state in which they work. All states require dentists to be licensed; requirements vary by state. Most states require a dentist to have a DDS or DMD degree from an accredited dental program, pass the writtenNational Board Dental Examination, and pass a state or regional clinical examination.
",,"Communication skills.Dentists must communicate effectively with patients, dental hygienists, dental assistants, and receptionists.
",Oral and maxillofacial surgeons
"Dentists typically need a DDS or DMD degree from a dental program that has been accredited by theCommission on Dental Accreditation(CODA). Most programs require that applicants have at least a bachelor’s degree and have completed certain science courses, such as biology or chemistry. Although no specific undergraduate major is required, programs may prefer applicants who have a bachelor'sdegreein a science, such asbiology.
",,"Dentists must be licensed in the state in which they work. All states require dentists to be licensed; requirements vary by state. Most states require a dentist to have a DDS or DMD degree from an accredited dental program, pass the writtenNational Board Dental Examination, and pass a state or regional clinical examination.
",,"Communication skills.Dentists must communicate effectively with patients, dental hygienists, dental assistants, and receptionists.
",Orthodontists
"Dentists typically need a DDS or DMD degree from a dental program that has been accredited by theCommission on Dental Accreditation(CODA). Most programs require that applicants have at least a bachelor’s degree and have completed certain science courses, such as biology or chemistry. Although no specific undergraduate major is required, programs may prefer applicants who have a bachelor'sdegreein a science, such asbiology.
",,"Dentists must be licensed in the state in which they work. All states require dentists to be licensed; requirements vary by state. Most states require a dentist to have a DDS or DMD degree from an accredited dental program, pass the writtenNational Board Dental Examination, and pass a state or regional clinical examination.
",,"Communication skills.Dentists must communicate effectively with patients, dental hygienists, dental assistants, and receptionists.
",Prosthodontists
"Postsecondary teachers who work for 4-year colleges and universities typically need a Ph.D. or other doctorate in theirfield of degree. For some specialties or for part-time positions, schools may hire those with a master’s degree or who are doctoral degree candidates.
","Institutions may prefer to hire those with teaching or other work experience.
","Postsecondary teachers who prepare students for an occupation that requires a license, certification, or registration, may need to have—or may benefit from having—the same credential. For example, a postsecondary nursing teacher might need a nursing license or a postsecondary education teacher might need a teaching license.
","Postsecondary teachers with a doctoral degree often seek tenure—a guarantee that a professor cannot be fired without just cause. Attaining tenure may take up to 7 years of progressing through the positions by rank: assistant professor, associate professor, and professor. The decision to grant tenure is based on a candidate’s research, contribution to the institution, and teaching.
","Critical-thinking skills.To conduct original research and design experiments, postsecondary teachers need to analyze information logically.
","Family and consumer sciences teachers, postsecondary"
"Postsecondary teachers who work for 4-year colleges and universities typically need a Ph.D. or other doctorate in theirfield of degree. For some specialties or for part-time positions, schools may hire those with a master’s degree or who are doctoral degree candidates.
","Institutions may prefer to hire those with teaching or other work experience.
","Postsecondary teachers who prepare students for an occupation that requires a license, certification, or registration, may need to have—or may benefit from having—the same credential. For example, a postsecondary nursing teacher might need a nursing license or a postsecondary education teacher might need a teaching license.
","Postsecondary teachers with a doctoral degree often seek tenure—a guarantee that a professor cannot be fired without just cause. Attaining tenure may take up to 7 years of progressing through the positions by rank: assistant professor, associate professor, and professor. The decision to grant tenure is based on a candidate’s research, contribution to the institution, and teaching.
","Critical-thinking skills.To conduct original research and design experiments, postsecondary teachers need to analyze information logically.
","Recreation and fitness studies teachers, postsecondary"
"Career and technical education teachers generally need a bachelor’sdegreein the field they teach, such asagriculture,engineering, orcomputer and information technology.
","Many career and technical education teachers need work experience in the field they teach. For example,automotive mechanics,chefs, andnursestypically spend years in their career before moving into teaching.
","States may require career and technical education teachers in public schools to be licensed or certified. Requirements for certification or licensure vary by state, but generally involve the following:
","Experienced teachers may advance to become mentors or lead teachers, helping less experienced teachers to improve their teaching skills.
","Communication skills.Career and technical education teachers must explain concepts in terms that students can understand.
","Career/technical education teachers, postsecondary"
"Preschool teachers typically need at least an associate’s degree.
","A few states require preschool teachers to have some work experience in a childcare setting. In these states, preschool teachers often start out aschildcare workersorteacher assistants. The amount of experience needed varies by state.
","Some states require preschool teachers to obtain the Child Development Associate (CDA) credential offered by theCouncil for Professional Recognition. Obtaining the CDA credential requires coursework, experience in the field, a written exam, and observation of the candidate working with children. The CDA credential must be renewed every 3 years.
","Experienced preschool teachers may advance to become the director of a preschool or childcare center or a lead teacher. Those with a bachelor's degree in early childhood education frequently are qualified to teach kindergarten through grade 3, in addition to preschool. Teaching positions at these higher grades typically pay more. For more information, see the profiles onpreschool and childcare center directorsandkindergarten and elementary school teachers.
","Communication skills.Preschool teachers need good writing and speaking skills to talk to parents and colleagues about children’s progress. They must also be able to communicate well with small children.
","Preschool teachers, except special education"
"Public kindergarten and elementary school teachers typically need a bachelor'sdegreein elementaryeducation. Private schools typically have the same requirement. In some states, public schools also require these teachers to major in a content area, such asmathematics.
",,"All states require teachers in public schools to be licensed or certified in the specific grade level that they will teach. Those who teach in private schools typically do not need a license. Requirements for certification or licensure vary by state but generally involve the following:
","Experienced teachers may advance to serve as mentors to new teachers or become lead teachers. In these roles, they help less-experienced teachers to improve their teaching skills.
","Communication skills.Teachers need to discuss students’ needs with parents and administrators. They also need to be able to communicate the subject content to students in a manner in which they will understand.
","Kindergarten teachers, except special education"
"Public kindergarten and elementary school teachers typically need a bachelor'sdegreein elementaryeducation. Private schools typically have the same requirement. In some states, public schools also require these teachers to major in a content area, such asmathematics.
",,"All states require teachers in public schools to be licensed or certified in the specific grade level that they will teach. Those who teach in private schools typically do not need a license. Requirements for certification or licensure vary by state but generally involve the following:
","Experienced teachers may advance to serve as mentors to new teachers or become lead teachers. In these roles, they help less-experienced teachers to improve their teaching skills.
","Communication skills.Teachers need to discuss students’ needs with parents and administrators. They also need to be able to communicate the subject content to students in a manner in which they will understand.
","Elementary school teachers, except special education"
"All states require public middle school teachers to have at least a bachelor’sdegree. Many states require middle school teachers to major in a content area, such asmathematicsorhistory. Other states require middle school teachers to major in elementaryeducation.
",,"All states require teachers in public schools to be licensed or certified in the specific grade level that they will teach. Those who teach in private schools typically do not need a license. Requirements for certification or licensure vary by state but generally involve the following:
","Experienced teachers may advance to serve as mentors to new teachers; they may also become lead teachers. In these positions, they help less experienced teachers to improve teaching skills.
","Communication skills.Teachers must share ideas with their students, other teachers, and school administrators and staff. In addition, they need to discuss student progress with parents.
","Middle school teachers, except special and career/technical education"
"Career and technical education teachers generally need a bachelor’sdegreein the field they teach, such asagriculture,engineering, orcomputer and information technology.
","Many career and technical education teachers need work experience in the field they teach. For example,automotive mechanics,chefs, andnursestypically spend years in their career before moving into teaching.
","States may require career and technical education teachers in public schools to be licensed or certified. Requirements for certification or licensure vary by state, but generally involve the following:
","Experienced teachers may advance to become mentors or lead teachers, helping less experienced teachers to improve their teaching skills.
","Communication skills.Career and technical education teachers must explain concepts in terms that students can understand.
","Career/technical education teachers, middle school"
"All states require public high school teachers to have at least a bachelor'sdegree, which may be ineducation. Many states require high school teachers to have majored in a content area, such asmathematicsor science.
",,"All states require teachers in public schools to be licensed or certified in the specific grade level they will teach. Those who teach in private schools typically are not required to be licensed.
","Experienced teachers may advance to serve as mentors to new teachers; they may also become a lead teacher. In these positions, they help less experienced teachers improve their teaching skills.
","Communication skills.Teachers must share ideas with their students, other teachers, and school administrators and staff. In addition, they need to discuss students’ progress with parents.
","Secondary school teachers, except special and career/technical education"
"Career and technical education teachers generally need a bachelor’sdegreein the field they teach, such asagriculture,engineering, orcomputer and information technology.
","Many career and technical education teachers need work experience in the field they teach. For example,automotive mechanics,chefs, andnursestypically spend years in their career before moving into teaching.
","States may require career and technical education teachers in public schools to be licensed or certified. Requirements for certification or licensure vary by state, but generally involve the following:
","Experienced teachers may advance to become mentors or lead teachers, helping less experienced teachers to improve their teaching skills.
","Communication skills.Career and technical education teachers must explain concepts in terms that students can understand.
","Career/technical education teachers, secondary school"
"All states require special education teachers in public schools to have at least a bachelor'sdegree. Some require teachers to earn a degree specifically in special education. Others allow them to major ineducationor a content area, such asmathematicsor science, and pursue a minor in special education.
",,"All states require teachers in public schools to be licensed in the specific grade level that they teach. A license frequently is referred to as a certification. Those who teach in private schools typically do not need to be licensed.
","Experienced teachers may advance to become mentors who help less experienced teachers improve their instructional skills. They also may become lead teachers.
","Communication skills.Special education teachers need to explain concepts in terms that students with learning disabilities can understand. They also must write Individualized Education Programs (IEPs) and share students’ progress with general education teachers, counselors and other specialists, administrators, and parents.
","Special education teachers, preschool"
"All states require special education teachers in public schools to have at least a bachelor'sdegree. Some require teachers to earn a degree specifically in special education. Others allow them to major ineducationor a content area, such asmathematicsor science, and pursue a minor in special education.
",,"All states require teachers in public schools to be licensed in the specific grade level that they teach. A license frequently is referred to as a certification. Those who teach in private schools typically do not need to be licensed.
","Experienced teachers may advance to become mentors who help less experienced teachers improve their instructional skills. They also may become lead teachers.
","Communication skills.Special education teachers need to explain concepts in terms that students with learning disabilities can understand. They also must write Individualized Education Programs (IEPs) and share students’ progress with general education teachers, counselors and other specialists, administrators, and parents.
","Special education teachers, kindergarten and elementary school"
"All states require special education teachers in public schools to have at least a bachelor'sdegree. Some require teachers to earn a degree specifically in special education. Others allow them to major ineducationor a content area, such asmathematicsor science, and pursue a minor in special education.
",,"All states require teachers in public schools to be licensed in the specific grade level that they teach. A license frequently is referred to as a certification. Those who teach in private schools typically do not need to be licensed.
","Experienced teachers may advance to become mentors who help less experienced teachers improve their instructional skills. They also may become lead teachers.
","Communication skills.Special education teachers need to explain concepts in terms that students with learning disabilities can understand. They also must write Individualized Education Programs (IEPs) and share students’ progress with general education teachers, counselors and other specialists, administrators, and parents.
","Special education teachers, middle school"
"All states require special education teachers in public schools to have at least a bachelor'sdegree. Some require teachers to earn a degree specifically in special education. Others allow them to major ineducationor a content area, such asmathematicsor science, and pursue a minor in special education.
",,"All states require teachers in public schools to be licensed in the specific grade level that they teach. A license frequently is referred to as a certification. Those who teach in private schools typically do not need to be licensed.
","Experienced teachers may advance to become mentors who help less experienced teachers improve their instructional skills. They also may become lead teachers.
","Communication skills.Special education teachers need to explain concepts in terms that students with learning disabilities can understand. They also must write Individualized Education Programs (IEPs) and share students’ progress with general education teachers, counselors and other specialists, administrators, and parents.
","Special education teachers, secondary school"
"All states require special education teachers in public schools to have at least a bachelor'sdegree. Some require teachers to earn a degree specifically in special education. Others allow them to major ineducationor a content area, such asmathematicsor science, and pursue a minor in special education.
",,"All states require teachers in public schools to be licensed in the specific grade level that they teach. A license frequently is referred to as a certification. Those who teach in private schools typically do not need to be licensed.
","Experienced teachers may advance to become mentors who help less experienced teachers improve their instructional skills. They also may become lead teachers.
","Communication skills.Special education teachers need to explain concepts in terms that students with learning disabilities can understand. They also must write Individualized Education Programs (IEPs) and share students’ progress with general education teachers, counselors and other specialists, administrators, and parents.
","Special education teachers, all other"
"Adult basic and secondary education and ESL teachers in public schools typically need at least a bachelor’sdegree. Some community colleges prefer to hire those with a master’s degree or graduate coursework in adult education or English as a Second Language (ESL).
",,"Adult basic and secondary education and ESL teachers who work in public schools must have a teaching certificate. Some states have certificates specifically for adult education. Other states require teachers to have a certificate in elementary or secondary education.
",,"Communication skills.Adult basic and secondary education and ESL teachers must collaborate with other teachers and program administrators. In addition, they must explain concepts in terms that students can understand.
","Adult basic education, adult secondary education, and english as a second language instructors"
"Tutors typically need to have some college education, specifically in subjects that they want to teach. Some tutors, such as those still in high school, may not have completed college courses but have a strong knowledge or background in a specific subject.
","Test preparation tutors usually need to have scored highly on the standardized tests for which they help students prepare. Student tutors, such as those in college, may need a minimum grade point average (GPA) or must have high grades in the subjects that they tutor.
",,,"Communication skills.Tutors must explain concepts in terms that students can understand. They may need to discuss student progress with parents or teachers.
",Tutors
"Archivists.Archivists typically need a master’s degree in history, library science, archival studies, political science, or public administration. Students may gain valuable archiving experience through volunteer or internship opportunities.
","To gain experience, candidates may have to work part time, as an intern or as a volunteer, during or after completing their education. Substantial experience in collection management, research, exhibit design, or restoration, as well as database management skills, is necessary for full-time positions.
","Although most employers do not require certification, some archivists may choose to earn voluntary certification because it allows them to demonstrate expertise in a particular area.
","Continuing education is available through meetings, conferences, and workshops sponsored by archival, historical, and museum associations. Some large organizations, such as theU.S. National Archives and Records Administrationin Washington, DC, offer in-house training.
","Analytical skills.Archivists, curators, museum technicians, and conservators must explore minutiae to determine the origin, history, and importance of the objects they work with.
",Archivists
"Archivists.Archivists typically need a master’s degree in history, library science, archival studies, political science, or public administration. Students may gain valuable archiving experience through volunteer or internship opportunities.
","To gain experience, candidates may have to work part time, as an intern or as a volunteer, during or after completing their education. Substantial experience in collection management, research, exhibit design, or restoration, as well as database management skills, is necessary for full-time positions.
","Although most employers do not require certification, some archivists may choose to earn voluntary certification because it allows them to demonstrate expertise in a particular area.
","Continuing education is available through meetings, conferences, and workshops sponsored by archival, historical, and museum associations. Some large organizations, such as theU.S. National Archives and Records Administrationin Washington, DC, offer in-house training.
","Analytical skills.Archivists, curators, museum technicians, and conservators must explore minutiae to determine the origin, history, and importance of the objects they work with.
",Curators
"Archivists.Archivists typically need a master’s degree in history, library science, archival studies, political science, or public administration. Students may gain valuable archiving experience through volunteer or internship opportunities.
","To gain experience, candidates may have to work part time, as an intern or as a volunteer, during or after completing their education. Substantial experience in collection management, research, exhibit design, or restoration, as well as database management skills, is necessary for full-time positions.
","Although most employers do not require certification, some archivists may choose to earn voluntary certification because it allows them to demonstrate expertise in a particular area.
","Continuing education is available through meetings, conferences, and workshops sponsored by archival, historical, and museum associations. Some large organizations, such as theU.S. National Archives and Records Administrationin Washington, DC, offer in-house training.
","Analytical skills.Archivists, curators, museum technicians, and conservators must explore minutiae to determine the origin, history, and importance of the objects they work with.
",Museum technicians and conservators
"Librarians typically need a master'sdegreeinlibrary science. Some colleges and universities have other names for their library science programs, such as Master of Information Studies or Master of Library and Information Studies. Students need a bachelor’s degree in any major to enter MLS or similar programs.
",,"Public school librarians and library media specialists typically need a teacher’s certification. Some states require school librarians to pass a standardized test, such as the PRAXIS II Library Media Specialist test. Contact your state department of education for details about requirements in your state.
",,"Communication skills.Librarians and library media specialists need to be able to explain ideas and information in ways that patrons understand.
",Librarians and media collections specialists
"Library technicians typically need a postsecondary certificate in library technology, which may include coursework in acquisitions, cataloguing, circulation, reference, and automated library systems. TheAmerican Library Associationhas information about certificate programs available by state.
",,,"Library technicians and assistants may advance to become supervisors and oversee daily library operations. To become a librarian, technicians and assistants need to earn a master’s degree in library science.
","Communication skills.Library technicians and assistants must be able to answer patrons’ questions clearly and explain use of library resources.
",Library technicians
"Instructional coordinators in public schools are required to have a master’s degree in education or curriculum and instruction. Some instructional coordinators need a degree in a specialized field, such as math or history.
","Most instructional coordinators need several years of related work experience as a teacher or an instructional leader. For some positions, experience teaching a specific subject or grade level is required.
","Instructional coordinators in public schools may be required to have a license, such as a teaching license or an education administrator license. For information about teaching licenses, see the profiles onkindergarten and elementary school teachers,middle school teachers, andhigh school teachers. For information about education administrator licenses, see the profile onelementary, middle, and high school principals. Check with your state’s Board of Education for specific license requirements.
","With enough experience and more education, instructional coordinators may become superintendents.
","Analytical skills.Instructional coordinators evaluate student test data and teaching strategies. Based on their analysis, they recommend improvements in curriculums and teaching.
",Instructional coordinators
